StudentID,DOB,Bid Data,Cloud Computing,Programming paradigms,Reconfigurable computing,Total,Result
539659,21-07-2003,88,79,42,94,303,Pass
676283,13-06-2001,98,4,22,3,127,Fail
992253,14-04-2000,24,86,54,37,201,Fail
382838,02-11-2002,62,37,77,18,194,Fail
919183,27-12-2005,87,86,75,1,249,Fail
370541,03-06-2003,72,72,51,5,200,Fail
845392,28-04-2001,99,13,15,26,153,Fail
847661,03-07-2001,85,0,59,20,164,Fail
338491,18-11-2005,98,84,97,3,282,Fail
306337,30-09-2003,20,74,26,7,127,Fail
380970,01-03-2002,46,4,37,90,177,Fail
405297,18-12-2005,20,19,64,71,174,Fail
398100,22-02-2004,51,68,92,41,252,Pass
925494,31-12-2005,95,38,71,82,286,Pass
118353,23-05-2002,98,88,54,99,339,Pass
464128,19-11-1999,30,54,1,10,95,Fail
190646,03-02-2005,20,16,22,13,71,Fail
255056,02-09-2001,55,15,39,30,139,Fail
676360,25-08-2000,13,29,65,83,190,Fail
289775,22-05-2004,17,75,85,14,191,Fail
233944,30-01-2002,24,26,76,38,164,Fail
721730,27-01-2002,55,1,76,72,204,Fail
122490,13-08-2003,61,19,59,50,189,Fail
166956,26-12-1999,35,55,90,82,262,Pass
806482,18-06-2007,75,37,20,33,165,Fail
926796,12-05-2006,13,74,5,81,173,Fail
311191,18-10-2001,17,75,66,86,244,Fail
363042,04-02-2000,93,84,73,65,315,Pass
591087,19-10-2004,67,44,62,32,205,Fail
836750,23-01-2002,9,32,99,65,205,Fail
926763,05-03-2002,55,58,63,77,253,Pass
401957,20-01-2002,20,5,55,57,137,Fail
855645,05-10-2003,39,83,66,14,202,Fail
474318,17-02-2005,71,67,17,87,242,Fail
372104,17-05-2001,52,25,6,73,156,Fail
272237,04-01-2003,84,37,41,50,212,Pass
943993,11-10-2001,42,58,11,97,208,Fail
358078,22-05-2002,73,22,94,86,275,Fail
409456,13-04-2006,90,66,83,64,303,Pass
135339,25-05-2000,56,0,18,12,86,Fail
906182,28-06-2004,27,77,67,0,171,Fail
491579,04-01-2000,100,61,24,86,271,Fail
945274,31-03-2006,11,30,24,77,142,Fail
403547,16-09-2006,28,99,9,1,137,Fail
491574,03-03-2004,63,70,89,21,243,Fail
465998,26-08-2000,19,64,78,68,229,Fail
491832,05-03-2001,65,31,22,23,141,Fail
819372,01-05-2001,32,50,76,76,234,Fail
754042,14-09-2002,67,23,99,87,276,Fail
100916,08-11-2001,81,21,65,70,237,Fail
503913,29-03-2003,93,35,39,62,229,Pass
386947,29-11-1999,95,12,78,42,227,Fail
443020,15-03-2001,60,58,54,71,243,Pass
896000,19-11-2004,55,80,70,18,223,Fail
859973,12-10-2005,9,15,58,85,167,Fail
790302,01-10-1999,72,98,20,86,276,Fail
846124,19-01-2001,33,100,68,90,291,Fail
875545,02-05-2005,14,44,8,56,122,Fail
286465,18-12-2003,67,53,87,53,260,Pass
186048,30-04-2003,29,95,93,44,261,Fail
402667,07-01-2000,87,58,45,54,244,Pass
893583,02-05-2004,95,20,70,87,272,Fail
293318,24-06-2004,0,36,20,98,154,Fail
728952,09-11-1999,22,37,66,5,130,Fail
497442,08-07-1999,86,57,9,93,245,Fail
633310,11-08-2002,55,90,22,74,241,Fail
966018,12-05-2006,95,59,77,25,256,Fail
447442,15-01-2004,57,5,85,76,223,Fail
177753,08-04-2002,15,2,51,27,95,Fail
393909,08-10-2001,39,66,95,52,252,Pass
377743,14-01-2003,94,24,98,39,255,Fail
369657,08-11-2000,24,75,24,87,210,Fail
685704,10-08-2005,77,10,96,0,183,Fail
855467,03-04-2003,39,96,33,24,192,Fail
490894,27-10-2003,70,74,54,46,244,Pass
615989,10-06-2007,73,48,70,96,287,Pass
918931,17-10-2001,79,32,15,96,222,Fail
886354,03-11-2005,54,66,24,68,212,Fail
638468,29-06-2000,77,37,10,27,151,Fail
916256,12-06-2005,25,53,9,30,117,Fail
533007,10-01-2003,63,38,62,89,252,Pass
170172,13-09-2004,84,17,10,78,189,Fail
869674,12-02-2006,42,38,76,43,199,Pass
593958,10-11-2004,66,72,23,65,226,Fail
815157,19-08-2005,31,96,29,40,196,Fail
820600,08-10-2004,9,36,41,75,161,Fail
461632,03-05-2001,99,59,5,54,217,Fail
207885,24-02-2007,29,16,36,13,94,Fail
275387,05-04-2006,10,20,20,94,144,Fail
852586,14-06-2000,15,100,35,8,158,Fail
788248,17-01-2004,29,95,19,25,168,Fail
758752,12-08-1999,81,86,41,76,284,Pass
139423,31-05-2004,40,12,2,98,152,Fail
682432,27-07-2005,80,80,33,55,248,Fail
575484,07-09-1999,66,38,39,14,157,Fail
229768,30-01-2001,48,84,9,75,216,Fail
601282,26-12-2000,100,68,33,70,271,Fail
627482,28-10-2004,49,2,36,87,174,Fail
150497,21-04-2003,90,75,21,18,204,Fail
364080,21-09-2003,41,64,4,79,188,Fail
553224,27-10-2002,10,75,14,62,161,Fail
215645,11-12-2005,17,11,36,36,100,Fail
375836,18-06-2005,27,49,62,32,170,Fail
295228,27-10-2002,82,43,13,24,162,Fail
679183,08-10-2003,84,72,15,74,245,Fail
642625,16-07-2002,76,51,87,91,305,Pass
865824,08-02-2002,3,18,51,49,121,Fail
248445,03-01-2005,74,84,28,41,227,Fail
562749,18-08-2003,87,23,79,16,205,Fail
975446,10-02-2000,45,86,13,32,176,Fail
753571,21-05-2004,87,13,41,29,170,Fail
872166,02-09-2003,18,72,56,66,212,Fail
923684,23-08-2005,13,24,74,37,148,Fail
857981,09-05-2004,76,88,55,89,308,Pass
635487,15-01-2007,34,9,60,85,188,Fail
825864,24-12-2005,10,62,25,39,136,Fail
815763,05-04-2004,9,76,26,62,173,Fail
796569,28-07-2002,79,39,83,89,290,Pass
734156,11-03-2003,36,43,94,12,185,Fail
854638,01-05-2004,43,75,2,51,171,Fail
921660,29-11-2003,88,77,69,5,239,Fail
546119,02-05-2003,12,92,23,18,145,Fail
253956,13-03-2007,66,65,52,39,222,Pass
158147,24-04-2007,41,67,30,40,178,Fail
930955,27-10-2001,9,40,52,80,181,Fail
473070,17-07-2006,96,34,0,23,153,Fail
618323,13-01-2007,13,54,69,73,209,Fail
661427,26-09-2004,25,53,72,36,186,Fail
432023,20-12-2004,97,95,88,33,313,Fail
206229,25-12-1999,32,67,12,25,136,Fail
377910,28-05-2000,98,65,59,31,253,Fail
994402,01-08-1999,46,8,97,40,191,Fail
654194,20-05-2006,77,100,57,75,309,Pass
146500,27-02-2004,62,18,93,11,184,Fail
807239,20-01-2001,15,34,46,18,113,Fail
320619,07-02-2004,2,95,37,82,216,Fail
795559,01-11-2000,51,49,16,35,151,Fail
104662,19-10-2001,98,63,38,28,227,Fail
634926,16-07-2005,74,32,14,3,123,Fail
529632,09-07-2001,15,9,29,4,57,Fail
539449,11-05-2004,48,73,21,33,175,Fail
201913,06-02-2002,82,32,95,50,259,Fail
642514,10-10-1999,80,60,100,99,339,Pass
956160,14-07-2003,72,99,19,88,278,Fail
174464,21-07-2004,84,64,100,13,261,Fail
201669,05-04-2000,61,92,8,77,238,Fail
402164,05-05-2005,0,72,62,30,164,Fail
478233,09-09-2004,31,3,98,32,164,Fail
553113,22-01-2002,58,12,86,48,204,Fail
771248,24-07-2003,60,24,66,64,214,Fail
476197,03-03-2005,30,81,47,35,193,Fail
200850,15-01-2001,67,16,6,26,115,Fail
290436,21-09-2003,18,13,18,74,123,Fail
263643,07-03-2006,61,50,62,100,273,Pass
716266,02-05-2004,30,31,74,50,185,Fail
486305,04-01-2005,10,54,90,92,246,Fail
183513,29-12-2004,56,41,68,30,195,Fail
147267,27-01-2000,80,49,48,55,232,Pass
217771,29-03-2004,61,54,16,97,228,Fail
837409,18-08-2001,68,9,20,75,172,Fail
562531,24-07-2002,62,24,3,67,156,Fail
199391,21-07-2006,75,82,7,64,228,Fail
411972,30-06-2001,89,37,10,26,162,Fail
183064,21-03-2000,57,14,2,5,78,Fail
899324,11-11-2000,59,60,16,10,145,Fail
856093,18-11-2003,93,59,96,40,288,Pass
221228,16-06-2001,8,60,30,22,120,Fail
414076,31-07-2001,59,63,72,74,268,Pass
718438,13-09-2006,31,22,96,27,176,Fail
331111,23-10-2005,42,58,67,74,241,Pass
471899,09-12-2001,13,31,45,86,175,Fail
599453,07-02-2003,38,76,23,58,195,Fail
354499,29-04-2005,7,61,25,90,183,Fail
552239,12-06-2004,32,2,12,83,129,Fail
796108,30-03-2000,9,78,64,70,221,Fail
736311,07-06-2002,95,40,68,62,265,Pass
554823,30-04-2001,46,36,46,89,217,Pass
242513,19-08-2005,17,36,18,27,98,Fail
405626,07-09-2000,7,97,12,88,204,Fail
511420,12-02-2007,49,49,46,80,224,Pass
128115,19-12-2002,73,86,80,2,241,Fail
805322,02-05-2001,50,71,55,51,227,Pass
164323,02-01-2004,7,46,68,85,206,Fail
144784,09-04-2002,72,93,67,11,243,Fail
535715,12-04-2001,25,4,69,49,147,Fail
564137,12-11-2004,63,42,26,19,150,Fail
510972,24-02-2007,76,79,23,30,208,Fail
578522,16-12-2001,6,79,89,16,190,Fail
999779,02-08-2006,45,90,3,15,153,Fail
696980,19-02-2007,40,68,63,23,194,Fail
694865,06-02-2004,37,26,92,55,210,Fail
670404,22-05-2000,38,82,60,37,217,Pass
936265,30-03-2007,67,99,73,8,247,Fail
332978,13-04-2002,66,63,24,8,161,Fail
456499,22-06-2000,85,75,21,28,209,Fail
176767,26-04-2000,5,21,3,81,110,Fail
444622,16-08-1999,10,34,45,15,104,Fail
821916,30-01-2002,43,69,68,66,246,Pass
992055,28-07-2006,30,98,4,54,186,Fail
842477,21-11-1999,30,53,96,28,207,Fail
902737,06-10-2001,60,94,83,74,311,Pass
458290,20-11-2002,84,28,99,54,265,Fail
364918,07-10-2000,71,82,43,94,290,Pass
865269,11-11-2001,53,1,88,34,176,Fail
231617,23-03-2006,15,1,83,72,171,Fail
936106,02-06-2007,6,19,43,7,75,Fail
807246,08-07-1999,4,28,71,15,118,Fail
395565,21-11-2006,65,50,20,2,137,Fail
990431,08-12-2003,28,89,28,78,223,Fail
795391,28-12-2003,1,68,62,14,145,Fail
440913,02-07-1999,24,35,25,8,92,Fail
931782,23-08-2004,83,5,61,77,226,Fail
101596,21-05-2003,25,39,84,1,149,Fail
134942,06-04-2001,3,11,79,59,152,Fail
449276,22-10-2002,89,0,11,17,117,Fail
280329,16-05-2003,74,96,71,38,279,Pass
356469,19-03-2007,25,82,4,69,180,Fail
423640,24-03-2000,45,26,89,76,236,Fail
333707,26-05-2003,45,20,96,7,168,Fail
471189,26-11-2003,72,21,43,88,224,Fail
757585,15-11-2005,8,44,23,7,82,Fail
909843,20-07-2002,23,37,53,74,187,Fail
262960,27-10-2004,9,40,21,40,110,Fail
224090,16-03-2001,16,4,28,59,107,Fail
984113,24-05-2002,47,78,78,64,267,Pass
316884,18-12-1999,90,58,92,3,243,Fail
868682,13-06-2000,1,81,71,14,167,Fail
813079,13-09-2004,34,75,85,38,232,Fail
966479,06-09-2003,21,52,9,44,126,Fail
371457,15-04-2007,8,90,36,60,194,Fail
833083,15-12-2004,32,1,68,16,117,Fail
725934,04-11-2002,85,80,4,96,265,Fail
993848,11-10-2005,81,53,62,11,207,Fail
322548,06-12-2006,96,82,16,75,269,Fail
763410,03-07-2000,46,95,29,64,234,Fail
614219,23-12-2006,76,89,56,85,306,Pass
506476,14-06-2000,21,59,7,46,133,Fail
143965,17-04-2007,6,44,61,55,166,Fail
425419,17-02-2003,54,91,79,70,294,Pass
169119,25-09-1999,89,62,31,59,241,Fail
864745,04-05-2001,43,39,26,22,130,Fail
999361,23-06-2002,68,54,80,96,298,Pass
554811,01-08-2002,76,4,72,86,238,Fail
997814,24-06-2007,38,50,72,67,227,Pass
198760,04-11-1999,45,0,28,33,106,Fail
969501,28-05-2003,75,13,87,98,273,Fail
876234,21-04-2005,98,21,74,83,276,Fail
500705,23-10-1999,82,81,35,55,253,Pass
889782,07-08-2003,89,63,5,20,177,Fail
470408,28-11-2001,42,67,63,51,223,Pass
399704,14-03-2005,69,53,2,65,189,Fail
994538,16-09-1999,35,98,95,89,317,Pass
402404,15-09-2003,99,58,59,28,244,Fail
714241,19-03-2002,96,8,23,92,219,Fail
989876,21-10-2005,76,94,25,90,285,Fail
645328,10-07-2001,17,41,89,82,229,Fail
165503,29-08-2005,74,96,89,79,338,Pass
169576,14-11-2002,21,3,53,85,162,Fail
242728,07-08-2006,37,10,14,14,75,Fail
135357,02-05-2004,43,56,22,78,199,Fail
879354,24-01-2001,92,77,93,61,323,Pass
909237,20-04-2003,37,72,90,16,215,Fail
234057,20-02-2002,81,50,55,95,281,Pass
984916,26-07-2000,35,65,18,62,180,Fail
497639,19-02-2006,66,56,10,53,185,Fail
665605,09-02-2003,18,57,20,26,121,Fail
682028,03-05-2002,10,93,48,77,228,Fail
748980,19-04-2006,72,45,74,16,207,Fail
796622,02-08-2003,62,12,12,99,185,Fail
626607,23-06-2003,100,30,76,46,252,Fail
381539,17-05-2006,77,73,77,50,277,Pass
439708,29-10-2004,42,38,100,58,238,Pass
532633,12-07-2005,16,17,42,32,107,Fail
588577,02-11-2006,72,65,51,89,277,Pass
925403,18-06-2000,40,46,38,82,206,Pass
835445,22-01-2001,97,64,25,94,280,Fail
598747,16-05-2000,22,43,42,63,170,Fail
649120,26-02-2001,71,40,52,75,238,Pass
926654,29-12-2004,26,4,78,44,152,Fail
145140,30-09-2004,34,85,100,50,269,Fail
233401,09-01-2003,73,95,61,80,309,Pass
816829,22-09-2004,48,16,80,12,156,Fail
252343,26-02-2002,77,22,41,93,233,Fail
966993,17-08-2006,39,67,16,30,152,Fail
696908,21-04-2003,84,34,73,56,247,Fail
731561,03-01-2000,61,53,2,62,178,Fail
656391,14-04-2003,11,94,15,35,155,Fail
125008,09-12-1999,71,46,31,93,241,Fail
519165,14-12-2006,29,16,5,18,68,Fail
925597,22-09-2002,18,97,45,98,258,Fail
250826,30-01-2002,51,12,0,54,117,Fail
150264,23-09-2003,4,59,64,76,203,Fail
198615,15-07-2000,65,11,75,79,230,Fail
845981,13-05-2000,86,28,12,54,180,Fail
821174,13-11-2003,23,93,22,25,163,Fail
579214,13-06-2000,18,22,22,3,65,Fail
116782,13-05-2004,62,79,70,26,237,Fail
483046,09-07-2001,38,15,86,56,195,Fail
129067,19-08-2002,46,72,15,15,148,Fail
877610,23-05-2001,52,19,62,7,140,Fail
749939,06-05-2006,87,100,43,64,294,Pass
491823,12-08-2000,18,37,68,60,183,Fail
149228,19-01-2003,78,63,62,79,282,Pass
722892,05-08-2005,21,82,30,43,176,Fail
388505,07-08-2003,67,91,14,61,233,Fail
869328,15-02-2006,81,43,69,50,243,Pass
846157,18-06-2002,13,5,29,2,49,Fail
539358,10-03-2005,5,40,82,24,151,Fail
505289,14-05-2000,32,39,62,0,133,Fail
803917,30-11-2006,25,66,71,88,250,Fail
790065,29-06-2007,72,72,89,37,270,Pass
749171,08-06-2001,30,8,71,17,126,Fail
414914,08-12-2002,59,13,32,42,146,Fail
936515,14-04-2001,8,57,96,22,183,Fail
735032,11-11-2005,37,45,85,58,225,Pass
312808,24-12-2005,89,45,99,77,310,Pass
919379,02-11-2006,90,59,94,65,308,Pass
549900,01-06-2007,67,68,66,47,248,Pass
977071,08-02-2004,19,76,19,79,193,Fail
363441,13-11-2001,78,59,13,39,189,Fail
342324,26-01-2006,31,1,54,81,167,Fail
476550,07-04-2002,92,66,63,55,276,Pass
863674,11-11-2005,39,62,62,13,176,Fail
313099,09-02-2003,69,33,66,69,237,Fail
593519,09-03-2000,91,94,72,73,330,Pass
710379,03-10-2003,77,23,85,64,249,Fail
916852,06-08-2005,70,91,11,39,211,Fail
106209,08-09-2004,67,42,58,59,226,Pass
984377,12-10-2004,56,74,9,64,203,Fail
123288,28-04-2005,81,48,40,47,216,Pass
502700,30-09-2005,26,25,59,83,193,Fail
304665,22-02-2005,60,75,17,63,215,Fail
550152,07-07-2006,78,47,63,17,205,Fail
942165,08-06-2006,88,91,64,23,266,Fail
370765,27-06-2003,32,96,65,30,223,Fail
979684,16-09-2001,84,74,57,54,269,Pass
664917,07-05-2002,60,97,84,27,268,Fail
606853,17-07-2001,66,35,85,26,212,Fail
682180,31-01-2002,95,7,6,18,126,Fail
625221,20-08-1999,67,30,42,99,238,Fail
555449,26-01-2001,75,89,100,85,349,Pass
958846,20-02-2006,66,38,65,41,210,Pass
384018,11-09-2005,69,87,88,68,312,Pass
203928,25-10-2000,84,71,2,56,213,Fail
410488,27-08-1999,45,89,91,55,280,Pass
182884,17-03-2004,90,2,18,30,140,Fail
270661,02-06-2007,76,16,44,58,194,Fail
510894,22-03-2002,2,6,90,11,109,Fail
749027,17-05-2005,89,97,13,13,212,Fail
836763,04-02-2002,84,95,28,86,293,Fail
973190,19-09-2004,20,14,70,22,126,Fail
189975,15-10-2005,80,14,29,70,193,Fail
551981,29-05-2007,0,69,80,75,224,Fail
137788,03-02-2003,38,26,28,52,144,Fail
792446,17-09-1999,81,98,28,40,247,Fail
732283,06-04-2002,24,36,50,87,197,Fail
984156,02-12-2006,91,80,16,28,215,Fail
934022,27-10-2000,62,53,63,28,206,Fail
882468,03-12-2003,69,94,95,26,284,Fail
365233,30-06-2004,84,0,60,63,207,Fail
522857,18-06-2003,68,75,59,46,248,Pass
606058,16-07-2004,81,31,4,48,164,Fail
735698,07-02-2000,22,87,41,67,217,Fail
668468,27-11-2005,82,3,82,29,196,Fail
392783,24-05-2006,33,82,92,27,234,Fail
364277,17-05-2000,48,64,41,22,175,Fail
413898,03-01-2001,28,80,95,52,255,Fail
800200,12-08-2001,8,27,81,74,190,Fail
209176,26-11-2003,47,92,74,16,229,Fail
870385,24-04-2000,99,3,77,24,203,Fail
692173,07-03-2005,30,59,35,36,160,Fail
198419,10-12-2000,65,77,49,27,218,Fail
902709,05-01-2004,96,26,97,99,318,Fail
385870,24-04-2006,86,9,88,50,233,Fail
523985,03-03-2004,39,44,27,1,111,Fail
561130,30-06-2002,19,98,69,13,199,Fail
764692,27-02-2006,58,92,52,46,248,Pass
602694,06-12-2004,82,3,7,69,161,Fail
523629,16-04-2006,32,49,20,78,179,Fail
744743,23-05-2003,83,71,87,5,246,Fail
119507,22-11-2002,12,17,8,78,115,Fail
219008,06-12-1999,24,60,5,79,168,Fail
741349,22-10-2005,43,42,18,43,146,Fail
940677,13-11-1999,71,60,30,26,187,Fail
219371,24-07-2000,54,34,89,2,179,Fail
166379,17-06-2000,10,11,36,3,60,Fail
917243,12-10-2004,78,75,8,98,259,Fail
819362,20-12-2003,86,1,24,42,153,Fail
841441,23-10-2000,54,81,63,58,256,Pass
343968,21-10-2000,2,10,73,45,130,Fail
438472,09-09-2002,62,73,92,4,231,Fail
996625,22-04-2005,20,49,95,30,194,Fail
921863,04-07-2000,79,51,94,69,293,Pass
387679,06-05-2003,24,73,83,84,264,Fail
609584,19-12-2000,62,67,82,39,250,Pass
985562,20-09-2003,52,12,8,96,168,Fail
865383,23-07-2003,38,55,47,78,218,Pass
228458,06-11-2003,88,39,26,22,175,Fail
920852,05-11-2001,86,15,57,66,224,Fail
480535,25-09-2002,76,74,68,90,308,Pass
174573,03-04-2002,74,66,31,38,209,Fail
645838,03-10-2005,48,8,8,88,152,Fail
581427,30-10-2004,24,37,70,94,225,Fail
672525,06-11-2006,60,69,56,74,259,Pass
995685,28-01-2003,2,30,35,8,75,Fail
314876,17-10-2003,10,59,17,3,89,Fail
849169,30-03-2002,38,56,54,28,176,Fail
391597,19-05-2006,61,91,63,78,293,Pass
918492,12-01-2000,11,16,46,14,87,Fail
558761,09-04-2000,87,90,56,79,312,Pass
435661,30-11-2003,71,7,50,98,226,Fail
890078,28-04-2007,53,57,58,51,219,Pass
584903,21-01-2003,55,78,42,45,220,Pass
157197,26-07-2001,2,88,58,61,209,Fail
513995,21-05-2005,92,19,76,5,192,Fail
511178,05-12-2001,19,90,74,61,244,Fail
306035,17-08-2000,98,9,39,95,241,Fail
611578,06-11-2005,39,42,13,59,153,Fail
121635,10-10-2003,64,37,87,51,239,Pass
861158,14-01-2000,9,26,63,9,107,Fail
738056,02-03-2004,29,67,5,77,178,Fail
852865,19-03-2005,2,76,16,58,152,Fail
546303,08-05-2007,25,3,62,1,91,Fail
825120,02-04-2003,53,23,40,42,158,Fail
278169,21-01-2005,39,76,98,71,284,Pass
769999,31-10-1999,84,84,81,68,317,Pass
557453,27-01-2001,4,38,76,93,211,Fail
281194,15-02-2000,67,78,46,23,214,Fail
673929,02-08-2004,45,7,82,86,220,Fail
883187,09-08-1999,46,86,24,19,175,Fail
965215,16-08-2006,35,56,10,92,193,Fail
502412,19-04-2006,93,95,58,81,327,Pass
909209,06-09-2003,62,24,12,29,127,Fail
482635,06-04-2000,27,4,97,12,140,Fail
872760,24-03-2006,34,22,21,23,100,Fail
670761,30-09-2006,49,13,19,19,100,Fail
360734,02-10-2001,8,17,46,77,148,Fail
449329,13-03-2000,97,98,53,22,270,Fail
142723,27-12-2002,55,40,71,49,215,Pass
641919,19-11-2001,35,95,55,23,208,Fail
907408,23-01-2000,31,33,33,37,134,Fail
936361,24-09-2006,54,46,29,73,202,Fail
774826,12-03-2000,34,18,84,53,189,Fail
278637,05-07-2001,73,12,31,1,117,Fail
975280,20-03-2006,29,23,38,3,93,Fail
984551,06-04-2005,51,88,42,82,263,Pass
463314,17-04-2004,57,20,3,38,118,Fail
315609,02-01-2004,40,69,88,95,292,Pass
361859,26-10-2004,87,19,95,44,245,Fail
724546,27-04-2005,63,69,37,74,243,Pass
325515,07-09-1999,14,36,14,75,139,Fail
177840,30-12-2003,59,32,32,100,223,Fail
413587,03-08-2000,87,30,58,19,194,Fail
375322,23-07-2006,65,97,53,74,289,Pass
335304,14-04-2000,3,45,69,23,140,Fail
280884,05-11-2005,37,40,69,27,173,Fail
403839,16-07-2001,90,3,75,76,244,Fail
174626,19-12-2000,92,74,29,87,282,Fail
575658,10-02-2003,5,13,84,87,189,Fail
178630,20-10-2006,33,51,54,21,159,Fail
473555,12-07-2004,70,36,55,56,217,Pass
490299,24-12-2001,27,86,88,90,291,Fail
964964,24-07-1999,18,64,22,15,119,Fail
163605,21-10-2006,29,78,25,43,175,Fail
689317,18-09-2003,42,15,91,67,215,Fail
810607,07-01-2003,21,20,46,45,132,Fail
178716,07-08-2005,41,47,22,87,197,Fail
359530,03-10-2006,46,35,27,57,165,Fail
867348,09-10-1999,61,2,70,35,168,Fail
137806,27-08-2001,60,52,80,19,211,Fail
474370,16-05-2005,6,8,44,71,129,Fail
349188,24-11-1999,33,16,72,84,205,Fail
664938,12-08-2000,86,39,6,86,217,Fail
114263,27-10-1999,8,41,20,90,159,Fail
600243,10-09-2005,65,10,0,59,134,Fail
204020,27-10-2004,98,71,6,67,242,Fail
150681,08-05-2004,54,29,20,55,158,Fail
977904,15-12-2002,74,68,21,46,209,Fail
432674,17-05-2005,10,12,28,49,99,Fail
543179,27-05-2004,69,67,25,38,199,Fail
460923,09-07-2004,91,49,6,14,160,Fail
530929,23-07-2006,78,11,82,83,254,Fail
737965,16-07-2000,37,43,52,43,175,Pass
370093,06-12-2001,88,54,73,80,295,Pass
836728,02-05-2006,37,76,61,47,221,Pass
779105,27-03-2006,17,40,82,44,183,Fail
966036,03-10-2003,62,3,100,9,174,Fail
701621,29-03-2007,3,26,17,79,125,Fail
619458,24-05-2005,60,25,33,60,178,Fail
549893,15-05-2002,43,92,23,84,242,Fail
887509,04-01-2002,66,99,15,95,275,Fail
885527,03-01-2004,68,46,76,59,249,Pass
909400,26-02-2004,76,53,98,61,288,Pass
372796,27-06-2006,76,45,85,90,296,Pass
856773,16-04-2000,92,17,30,20,159,Fail
401478,31-05-2005,27,37,39,71,174,Fail
271796,11-03-2003,45,47,93,10,195,Fail
207574,28-03-2007,100,66,44,48,258,Pass
603632,13-04-2005,51,50,83,65,249,Pass
496878,17-05-2000,78,92,36,15,221,Fail
364156,17-03-2006,50,91,44,79,264,Pass
570846,24-07-2003,96,7,50,95,248,Fail
261232,28-05-2004,70,20,0,58,148,Fail
284236,28-05-2006,16,71,76,41,204,Fail
401324,26-07-2003,100,54,0,24,178,Fail
963321,22-10-2004,82,17,72,30,201,Fail
933613,06-11-2000,27,82,24,8,141,Fail
577310,04-12-2000,14,48,60,73,195,Fail
846567,20-09-2000,97,92,78,71,338,Pass
785870,11-10-1999,1,88,40,91,220,Fail
992408,15-07-2004,92,18,86,72,268,Fail
496697,26-05-2000,16,87,66,52,221,Fail
576887,25-02-2006,14,76,24,91,205,Fail
448303,23-10-2001,93,80,30,0,203,Fail
427127,01-03-2004,57,5,6,46,114,Fail
957324,09-08-2006,96,99,50,19,264,Fail
187597,23-02-2003,40,19,82,71,212,Fail
470725,27-10-2001,87,88,36,38,249,Pass
627740,14-03-2000,43,45,76,24,188,Fail
755014,06-08-2002,73,34,43,98,248,Fail
652943,22-07-2003,67,16,75,21,179,Fail
